n_nodes,repetition,pass,convergence_s,connections_observed,connections_expected,propagation_n_samples,propagation_latency_median_ms,propagation_latency_p95_ms,propagation_latency_p99_ms,apply_events_total,lifecycle_events_total,wall_time_s,fatal_error
32,17,True,0.09573346300021512,992,992,992,0.7388605,1.6504076999999997,1.9938103200000017,1023,3008,26.726314668005216,
32,18,True,0.09611563899670728,992,992,961,0.880497,1.862735,2.306323,992,3008,26.872314220003318,
32,19,True,0.1043782690030639,992,992,961,0.777926,2.251579,3.1533103999999996,992,3008,26.659917060002044,
32,20,True,0.10610897800506791,992,992,961,0.78276,1.854459,2.252317199999999,992,3008,26.609941196002183,
32,21,True,0.10361120399466017,992,992,961,0.870807,2.23276,2.702177,992,3008,26.999237915006233,
32,22,True,0.11802154000179144,992,992,961,0.757626,1.849664,3.0056355999999997,992,3008,26.652864632000274,
32,23,True,0.10738258899800712,992,992,961,0.9214,2.038336,2.6169623999999994,992,3008,26.936346481001237,
32,24,True,0.10608316300204024,992,992,961,0.708893,1.639598,2.535544799999998,992,3008,26.58639035599481,
32,25,True,0.0962376809984562,992,992,961,0.760527,1.820886,2.6189302,992,3008,26.786201969000103,
32,26,True,0.10860701199999312,992,992,961,0.788096,1.861917,2.2278434,992,3008,26.91813475100207,
32,27,True,0.11434024900518125,992,992,961,0.836249,2.033639,2.587036799999999,992,3008,26.929296430003888,
32,28,True,0.10097564099851297,992,992,961,0.775863,2.043372,2.8397337999999985,992,3008,26.76545849800459,
32,29,True,0.09848481799417641,992,992,961,0.781614,1.969454,2.5321833999999988,992,3008,26.971818350997637,
